69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
79, 1, 89, 0
89, 1, 89, 10
41, 3, 42, 0
42, 3, 43, 0
43, 3, 44, 0
44, 1, 54, 0
54, 3, 55, 0
55, 1, 65, 0
65, 3, 66, 0
66, 3, 67, 0
67, 3, 68, 0
68, 3, 69, 0
69, 1, 79, 0
